/*----------------------2哈社区---------------------*/
/*----------------https://www.2ha.cc---------------*/
/*------论坛里有各种安卓软件、电脑软件及TV接口--------*/
📺｜央视频道,#genre#
CCTV1,http://39.134.65.141/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.143/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.151/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221226221/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225918/index.m3u8
CCTV1,http://39.135.138.60:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.135.138.59:18890/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225762/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226221/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221226225/index.m3u8
CCTV1,http://39.135.137.205/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://39.134.65.175/PLTV/88888888/224/3221225816/1.m3u8
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://183.207.249.9/PLTV/3/224/3221225530/index.m3u8
CCTV1,http://222.240.82.92:9901/tsfile/live/0001_1.m3u8
CCTV1,http://39.134.116.30:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.134.32.101:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225762/index.m3u8
CCTV1,http://39.134.65.142/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.135.138.58:18890/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225618/index.m3u8
CCTV1,http://39.134.32.102:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.135.138.58:18890/PLTV/88888910/224/3221225618/index.m3u8
CCTV1,http://39.134.67.99/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://39.134.115.163:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://39.134.32.108:6610/270000001111/1110000301/index.m3u8?IASHttpSessionId=OTT
CCTV1,http://39.134.65.141/PLTV/88888888/224/3221225816/index.m3u8
CCTV1,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225642/index.m3u8
CCTV1,http://183.207.249.16/ott.js.chinamobile.com/PLTV/3/224/3221225530/index.m3u8
CCTV2,http://39.134.115.163:8080/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.134.116.30:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888888/224/3221225619/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.134.32.103:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://39.135.138.59:18890/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://222.240.82.92:9901/tsfile/live/0002_1.m3u8
CCTV2,http://111.59.189.40:8445/tsfile/live/1001_1.m3u8
CCTV2,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225643/index.m3u8
CCTV2,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225619/index.m3u8
CCTV2,http://39.135.138.60:18890/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://183.196.25.171:808/hls/2/index.m3u8
CCTV2,http://39.134.32.108:6610/270000001111/1110000302/index.m3u8?IASHttpSessionId=OTT
CCTV2,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225643/index.m3u8
CCTV2,http://39.135.138.58:18890/PLTV/88888910/224/3221225643/index.m3u8codeyj
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225647/index.m3u8
CCTV3,http://111.59.189.40:8445/tsfile/live/1002_1.m3u8
CCTV3,http://39.134.67.226/PLTV/88888888/224/3221225799/index.m3u8
CCTV3,http://hwrr.jx.chinamobile.com:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888910/224/3221225647/index.m3u8codeyj
CCTV3,http://183.207.249.14/PLTV/3/224/3221225588/index.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.135.138.58:18890/PLTV/88888888/224/3221225634/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225634/index.m3u8
CCTV3,http://39.134.115.163:8080/PLTV/88888910/224/3221225647/index.m3u8
CCTV3,http://39.134.65.141/PLTV/88888888/224/3221225799/1.m3u8
CCTV3,http://39.135.138.60:18890/PLTV/88888910/224/3221225634/index.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://183.207.248.15/PLTV/3/224/3221225534/index.m3u8?
CCTV4,http://183.207.249.6/PLTV/3/224/3221225534/index.m3u8
CCTV4,http://ncyd.jilu8.cn/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://39.135.138.58:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://222.240.82.92:9901/tsfile/live/0004_1.m3u8
CCTV4,http://39.135.138.60:18890/PLTV/88888910/224/3221225621/index.m3u8
CCTV4,http://117.169.120.140:8080/live/cctv-4/.m3u8
CCTV4,http://39.134.115.163:8080/PLTV/88888910/224/3221225621/.m3u8
CCTV4,http://111.59.189.40:8445/tsfile/live/1003_1.m3u8
CCTV4,http://182.151.211.171:808/hls/4/index.m3u8
CCTV4,http://183.196.25.171:808/hls/4/index.m3u8
CCTV4,http://183.207.249.11/PLTV/3/224/3221225534/index.m3u8
CCTV4,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225621/index.m3u8
CCTV5,http://39.134.65.208/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://222.240.82.92:9901/tsfile/live/0005_1.m3u8
CCTV5,http://hwrr.jx.chinamobile.com:8080/PLTV/88888888/224/3221225633/index.m3u8
CCTV5,http://39.134.32.102:6610/270000001111/1110000305/index.m3u8?IASHttpSessionId=OTT
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225648/index.m3u8
CCTV5,http://39.134.65.181/PLTV/88888888/224/3221225818/1.m3u8
CCTV5,http://39.134.66.2/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.67.226/PLTV/88888888/224/3221225818/index.m3u8
CCTV5,http://39.134.65.173/PLTV/88888888/224/3221225818/1.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.135.138.60:18890/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://111.59.189.40:8445/tsfile/live/0113_1.m3u8
CCTV5,http://39.134.115.163:8080/PLTV/88888910/224/3221225633/index.m3u8
CCTV5,http://39.135.138.59:18890/PLTV/88888888/224/3221225767/index.m3u8
CCTV5+,http://39.134.115.163:8080/PLTV/88888910/224/3221225649/index.m3u8
CCTV5+,http://111.59.189.40:8445/tsfile/live/1018_1.m3u8
